Model,gpus,Sparsity (%),n_heads,n_neurons,prompt_length,Generation Length (Tokens),Mode,Time (sec)
facebook/opt-1.3b,1,50,16,4096,128,128,dejavu,
facebook/opt-1.3b,1,50,16,4096,128,128,shadowllm,
facebook/opt-1.3b,1,50,16,4096,128,128,static,
facebook/opt-6.7b,2,50,16,8192,128,128,dejavu,
facebook/opt-6.7b,2,50,16,8192,128,128,shadowllm,
facebook/opt-6.7b,2,50,16,8192,128,128,static,
facebook/opt-13b,4,50,20,10240,128,128,dejavu,
facebook/opt-13b,4,50,20,10240,128,128,shadowllm,
facebook/opt-13b,4,50,20,10240,128,128,static,
facebook/opt-30b,8,50,24,14336,128,128,dejavu,
facebook/opt-30b,8,50,24,14336,128,128,shadowllm,
facebook/opt-30b,8,50,24,14336,128,128,static,
facebook/opt-66b,8,50,36,18432,128,128,dejavu,
facebook/opt-66b,8,50,36,18432,128,128,shadowllm,
facebook/opt-66b,8,50,36,18432,128,128,static,
facebook/opt-30b,8,0,48,28672,128,128,dejavu,
facebook/opt-30b,8,0,48,28672,128,128,shadowllm,
facebook/opt-30b,8,0,48,28672,128,128,static,
facebook/opt-30b,8,10,43,25804,128,128,dejavu,
facebook/opt-30b,8,10,43,25804,128,128,shadowllm,
facebook/opt-30b,8,10,43,25804,128,128,static,
facebook/opt-30b,8,20,38,22937,128,128,dejavu,
facebook/opt-30b,8,20,38,22937,128,128,shadowllm,
facebook/opt-30b,8,20,38,22937,128,128,static,
facebook/opt-30b,8,30,33,20070,128,128,dejavu,
facebook/opt-30b,8,30,33,20070,128,128,shadowllm,
facebook/opt-30b,8,30,33,20070,128,128,static,
facebook/opt-30b,8,40,28,17203,128,128,dejavu,
facebook/opt-30b,8,40,28,17203,128,128,shadowllm,
facebook/opt-30b,8,40,28,17203,128,128,static,
facebook/opt-30b,8,50,24,14336,128,128,dejavu,
facebook/opt-30b,8,50,24,14336,128,128,shadowllm,
facebook/opt-30b,8,50,24,14336,128,128,static,
facebook/opt-30b,8,60,19,11468,128,128,dejavu,
facebook/opt-30b,8,60,19,11468,128,128,shadowllm,
facebook/opt-30b,8,60,19,11468,128,128,static,
facebook/opt-30b,8,70,14,8601,128,128,dejavu,
facebook/opt-30b,8,70,14,8601,128,128,shadowllm,
facebook/opt-30b,8,70,14,8601,128,128,static,
facebook/opt-30b,8,80,9,5734,128,128,dejavu,
facebook/opt-30b,8,80,9,5734,128,128,shadowllm,
facebook/opt-30b,8,80,9,5734,128,128,static,
facebook/opt-30b,8,90,4,2867,128,128,dejavu,
facebook/opt-30b,8,90,4,2867,128,128,shadowllm,
facebook/opt-30b,8,90,4,2867,128,128,static,
facebook/opt-30b,8,95,2,1433,128,128,dejavu,
facebook/opt-30b,8,95,2,1433,128,128,shadowllm,
facebook/opt-30b,8,95,2,1433,128,128,static,
facebook/opt-30b,8,50,24,14336,128,32,dejavu,
facebook/opt-30b,8,50,24,14336,128,32,shadowllm,
facebook/opt-30b,8,50,24,14336,128,32,static,
facebook/opt-30b,8,50,24,14336,128,64,dejavu,
facebook/opt-30b,8,50,24,14336,128,64,shadowllm,
facebook/opt-30b,8,50,24,14336,128,64,static,
facebook/opt-30b,8,50,24,14336,128,128,dejavu,
facebook/opt-30b,8,50,24,14336,128,128,shadowllm,
facebook/opt-30b,8,50,24,14336,128,128,static,
facebook/opt-30b,8,50,24,14336,128,256,dejavu,
facebook/opt-30b,8,50,24,14336,128,256,shadowllm,
facebook/opt-30b,8,50,24,14336,128,256,static,
facebook/opt-30b,8,50,24,14336,128,512,dejavu,
facebook/opt-30b,8,50,24,14336,128,512,shadowllm,
facebook/opt-30b,8,50,24,14336,128,512,static,
